est_socio,sexo_jefe,edad_jefe,educa_jefe,tot_integ,perc_ocupa,ing_cor,gasto_mon,erogac_tot
2,2,87,1,3,0,21155.35,14448.31,0
2,2,33,4,3,3,27162.08,18980.33,6603.26
2,2,39,7,3,1,33281.37,21509.02,0
2,2,62,4,8,3,60396.54,41009.29,0
2,1,33,8,6,1,23121.86,29813.11,0
3,2,71,6,2,0,42153.56,20792.53,10360.09
3,2,61,6,4,2,73976.99,64456.48,2934.78
2,1,36,10,3,1,82375.84,44152.26,0
2,2,63,3,2,2,22379.26,11971.97,0
2,2,58,6,6,2,86288.89,37912.31,0
2,2,54,3,1,1,26042.95,17821.65,0
2,1,52,8,1,0,24286.28,8283.64,0
2,1,25,6,4,2,39263.17,12478.16,0
2,1,82,3,3,1,47092.18,32074.82,0
2,1,39,8,3,2,62450.99,23560.79,1467.39
2,2,59,1,3,1,21381.98,10861.6,0
4,1,69,11,4,4,194255.6,67856.14,61048.39
4,2,40,11,2,2,152387.79,94198.73,101975.79
4,2,32,10,3,3,243878.89,109457.39,110739.12
4,1,55,8,4,3,158809.54,55779.44,19565.21
4,2,47,11,1,1,106781.09,84667.54,28711.94
2,2,47,7,3,2,60362.36,27453.84,0
2,1,55,10,2,2,51073.75,28632.45,934.42
2,1,78,4,2,0,27313.29,9004.69,0
2,2,64,3,4,1,44567.88,18887.22,0
2,2,60,7,3,2,67598.34,30860.36,0
3,2,69,4,2,1,19229.5,16749.25,0
3,2,85,4,3,0,35926.21,9985.76,0
3,2,38,6,4,2,44409.82,42190.57,0
3,1,35,8,3,1,28278.68,16738.69,0
3,1,55,10,3,1,73770.49,82222.09,0
3,1,33,10,3,1,27391.3,35607.86,0
3,2,65,10,2,2,145678.8,61546.28,0
3,1,88,3,5,1,29498.17,21047.2,0
3,2,69,10,1,0,15592.07,15745.18,0
3,1,50,9,2,2,48794.21,35417.32,0
3,1,40,8,4,1,24456.51,27425.18,0
3,1,58,8,6,2,74757.38,47491.14,0
3,2,68,6,5,2,134342.11,48172.2,73369.56
3,2,90,4,3,2,94911.79,35763.66,4255.43
3,2,46,6,3,2,57992.84,24537.07,244.56
3,1,35,10,1,1,84717.37,43077.01,0
4,1,78,4,6,2,71744.33,34942.08,0
4,1,50,8,4,2,62633.12,46138.45,8804.34
4,1,38,8,1,1,50720.44,14266.89,0
4,2,42,10,2,1,62353.06,50923.59,4255.43
4,1,60,6,4,0,93641.63,86828.43,0
3,2,53,6,3,2,38364.14,46634.18,0
3,1,80,5,2,0,31377.04,6399.78,0
3,2,74,3,4,2,41725.1,31798.39,1475.4
3,2,32,11,4,2,83134.17,81207.22,0
3,1,60,9,3,1,41704.88,23069.42,0
3,2,46,10,3,2,81063.19,44620.31,2163.93
3,2,53,6,4,3,116065.53,43246.67,2459.01
3,1,57,6,7,3,32350.07,28201.16,1770.49
3,1,65,11,5,0,106967.2,49262.45,5163.93
3,2,67,11,3,1,157721.3,59677.25,0
3,2,42,10,2,2,49672.11,48049.08,0
3,1,56,10,1,1,251163.92,52621.54,4377.04
4,1,39,10,5,1,109448.69,61238.9,13952.45
4,2,42,4,2,2,26040.96,14875.28,4500
4,1,55,9,5,4,178278.61,76984.68,1475.4
4,2,90,6,2,1,43913.8,6805.25,0
4,1,20,4,2,1,22922.91,30436.9,7426.22
4,2,68,11,3,2,296533.11,115394.55,8804.34
4,1,58,11,2,1,512985.07,76964.72,14673.91
4,1,44,10,4,2,326731.22,140751.13,53804.34
4,2,47,6,1,1,36903.12,13876.55,0
4,2,51,10,3,2,217835.61,206475.53,37526.07
4,2,52,6,3,1,58376.92,42062.67,11612.9
4,2,55,10,4,3,259532.55,211836.08,1467.39
4,1,62,11,4,1,395091.16,173416.91,8804.34
4,2,55,10,4,4,383820.57,265221.24,36684.78
2,2,35,8,4,1,26266.28,37457.46,0
2,1,34,6,4,2,36586.94,47431.02,0
2,1,59,8,3,1,53155.84,42357.67,0
2,2,61,1,1,1,27047.42,14118.25,0
2,1,28,7,1,1,81656.37,29713.64,244.56
2,2,63,6,1,1,21947.75,10188.77,0
3,1,60,8,3,1,80546.05,46452.07,0
3,2,64,3,3,0,65822.97,18182.96,0
3,1,40,6,4,1,35610.2,22331.28,0
3,1,68,4,3,1,122314,89197.25,3480.65
3,2,45,6,2,1,33303.67,30183.47,3580.11
3,1,35,8,5,2,28100.51,37718.77,0
3,2,71,4,6,1,66576.94,36514.81,0
3,1,57,11,4,2,121705.08,98736.55,5527.17
3,2,75,4,2,1,44823.27,18011.86,0
3,1,67,5,2,0,27984.56,22260.19,0
3,1,52,8,5,4,56368.31,25113.84,0
3,2,68,3,6,5,178220.91,72508.64,17608.69
3,1,54,7,4,3,70652.5,32827.02,0
3,1,49,8,4,2,57281.88,27391.4,0
3,1,39,10,4,1,71531.36,49656.85,2788.04
3,2,40,6,2,1,47504.01,40446.41,0
3,1,59,4,4,1,30411.28,21620.74,0
2,1,60,6,3,1,66812.42,18916.61,17608.69
2,2,33,8,3,2,42358.66,35575.04,0
2,1,67,8,5,3,127868.1,81527.94,6163.04
2,2,50,8,1,1,13226.55,10669.67,293.47
2,1,36,8,5,2,82508.39,22935.66,0
2,1,36,4,4,1,29284.71,20355.56,0
4,1,62,6,3,3,70903.77,58039.15,0
4,1,55,11,5,2,650409.8,376983.92,175081.95
4,1,27,10,1,1,170607.23,89947.35,33639.33
4,1,75,3,2,0,51554.54,19066.37,0
4,1,21,9,1,0,102488.03,10790.55,0
4,1,44,11,3,2,210850.1,141018.01,80016.39
3,1,25,6,4,1,24456.52,26424.45,489.13
3,2,69,6,2,2,88680.21,16461.07,0
3,2,78,1,2,1,40236.49,21383.01,391.3
3,1,52,4,3,3,36122.25,44032.03,0
3,2,53,6,3,1,33994.55,26283.31,4402.17
3,1,43,9,4,1,71271.02,44128.15,10161.29
3,1,58,9,3,1,150393.41,97213.87,7081.96
3,1,31,8,5,1,70155.71,33212.28,5163.93
3,1,51,8,5,2,60639.31,44754.84,0
3,1,31,8,1,1,28874.41,29263.9,0
3,2,47,10,3,1,89370.98,28804.95,0
3,1,39,7,5,2,58327.84,30546.16,78.68
3,2,84,4,6,3,118650.69,82295.14,11152.17
3,2,38,11,2,2,81440.19,60549.85,2836.95
3,2,76,3,5,2,82491.4,31463.25,0
3,1,43,4,1,1,14673.91,16676.51,0
3,1,68,10,7,1,91325.56,24564.48,0
4,1,52,6,6,3,48617.89,22469.94,0
4,2,53,11,3,2,95366.9,29945.54,0
4,1,67,4,3,2,95068.78,34245.29,0
2,1,39,6,5,1,36952.54,49572.17,895.02
2,1,54,3,3,2,49752.83,28925.96,0
2,1,47,6,4,1,36436.28,29817.89,0
2,1,68,3,3,2,46655.18,18370.63,2983.42
2,2,53,4,2,1,24696.36,36720.13,733.69
2,1,36,5,3,2,41571.33,64181.78,10632.7
2,2,67,3,3,2,42980.35,23610.53,0
2,1,36,9,4,2,91661.43,60597.9,0
2,1,50,6,5,2,73211.76,39762.02,0
2,1,43,6,6,2,71611.82,50170.96,684.78
2,1,58,6,7,3,159664.72,106054.32,9097.82
2,1,62,3,5,3,123196.68,29039.94,172.13
2,1,55,10,3,1,64967.18,31046.91,3196.72
2,1,40,6,2,2,53458.99,28379.08,3196.71
2,1,41,8,6,2,97081.92,49274.89,0
2,1,44,8,5,1,64106.51,44568.53,0
